YECOMAM 2合1兒童滑板學步車,網路價：2490元
貝恩時尚甜美胸罩-花語粉L,網路價：1062元
貝恩時尚甜美胸罩-花語粉M,網路價：1062元
貝恩時尚甜美胸罩-花語粉XL,網路價：1062元
亞培心美力成長/兒童1.7KG 三罐送粉紅豬小妹戲水桶,網路自選組合價
亞培心美力成長/兒童1.7KG 三罐送粉紅豬小妹遊艇泳圈,網路自選組合價
亞培心美力成長/兒童1.7KG 六罐送粉紅豬小妹收納推車,網路自選組合價
兒童補體素初乳原味900g/兒童補體素初乳香草900g/補體素幼兒羊奶粉900G 二罐送法蘭絨毛毯,網路自選組合價
黃色小鴨夜光甜甜圈奶嘴鍊+黃色小鴨親乳感安撫奶嘴 合購348元,網路價：348元
COMBI濕巾80片三入 一箱8組,網路自選組合價
噓噓樂輕柔乾爽XXL28 二包折100元,網路自選組合價
大王國際版M-XL系列 三包588元+大王濕巾,網路自選組合價
CHICCO BRAVO完美手推車 贈CHICCO歡樂農場音樂球,網路價：11800元
CHICCO汽座SEAT UP 012 ISOFIX 贈CHICCO POCKET攜帶式餐椅座墊,網路價：12900元
CREATIVE BABY 3合1學步車-經典 送小飛象洋甘菊舒敏洗髮浴露200ml,網路價：2990元
黃色小鴨微電腦蒸氣消毒烘乾鍋 贈黃色小鴨厚輕寬口玻璃奶瓶210ML+黃色小鴨厚輕寬口玻璃奶瓶280ML,網路自選組合價
伊蘭纖姿 孕婦撫紋霜500ml 送伊蘭纖姿孕婦撫紋霜150ml,網路價：2520元
南良-冰舒輕透涼感墊-雙人加大,網路價：2850元
慕之恬廊慕之孕系列 買就送慕之恬廊衛蓓欣全效護膚膏50ML,網路自選組合價
植英房撫紋精華190G 兩枝1990元,網路價：1990元
3M保膚系列 買任一瓶送3M保膚沐浴露100ML,網路自選組合價
LIERAC孕膚精華液75ML 921 市價1650元買2送1,網路價：3300元
LRP全日保濕系列產品 送LRP明星保濕清潔旅行組,網路自選組合價
LRP全護清透防曬噴霧75G,網路價：900元
BUBBLE FISH 泡泡小魚油140顆 第二件5折,網路價：720元
中天黃金紀元養氣人蔘(60ml*14)*2組(網購免運費),網路價：1198元
優青素-膠原藤黃果膠囊+優青素-纖藻植酵菌順暢包 合購價2170元.再贈金膠原青春飲3罐,網路價：2170元
妃美錠60'S 五盒送可寧速淨液120ML+可寧婦女護潔乳150ML,網路價：5000元
Ariel日本進口三合一3D洗衣膠囊18顆袋裝/Ariel日本進口三合一3D洗衣膠囊18顆盒裝 任兩件送 ARIEL 540ml濃縮洗衣精,網路自選組合價
橘子工坊全品項 任二件現折20元,網路自選組合價
靠得住產褥墊 20P 二包折價30元，每人限購二組,網路自選組合價
高露潔抗敏感超微泡科技全方位防護牙膏120g/高露潔抗敏感超微泡科技美白牙膏120g 179元買1送1,網路自選組合價
三多液態奶系列 整箱折50元,網路自選組合價
亞培安素成人飲品系列 二箱送三折防風自動傘,網路自選組合價
亞培葡勝納SR菁選200ml/亞培葡勝納SR原味200ML 二箱送多功能反向傘,網路自選組合價
亞培葡勝納嚴選250ML 二箱送多功能反向傘,網路自選組合價
CHICCO BRAVO完美手推車 贈CHICCO歡樂農場音樂球,網路價：11800元
CHICCO汽座SEAT UP 012 ISOFIX 贈CHICCO POCKET攜帶式餐椅座墊,網路價：12900元
CREATIVE BABY 3合1學步車-經典 送小飛象洋甘菊舒敏洗髮浴露200ml,網路價：2990元
諾貝兒寶貝金配方兒童800G,網路價：595元
諾貝兒寶貝金配方成長800G,網路價：625元
諾貝兒寶貝營養金配方900G,網路價：950元
妙而舒瞬吸舒爽XL44 網購限定(箱購免運費),網路自選組合價
妙而舒瞬吸舒爽L52 網購限定(箱購免運費),網路自選組合價
妙而舒瞬吸舒爽M66 網購限定(箱購免運費),網路自選組合價
妙而舒瞬吸舒爽S78 網購限定(箱購免運費),網路自選組合價
寶舒美洋甘菊濕巾70片*18 網購限定(箱購免運費),網路自選組合價
寶舒美嬰兒濕巾60片*24 網購限定(箱購免運費),網路自選組合價
貝恩嬰兒保養柔濕巾80抽x3包,網路價：169元
植英房藻精蛋白幼兒健康素120G,網路價：1140元
暢順通魚油軟膠囊 30T*3,網路價：1000元
安特膜衣錠-30T*2,網路價：1045元
六甲村無染棉多功能孕哺枕,網路價：1850元
RICHELL攜帶型充氣式授乳枕-藍,網路價：1393元
RICHELL攜帶型充氣式授乳枕-灰,網路價：1393元
EXPECT透氣防水授乳枕-黃S140,網路價：1280元
六甲村無染棉多功能孕哺枕,網路價：1850元
六甲村180彈性大腿襪L #39732,網路價：632元
六甲村180彈性大腿襪M #39731,網路價：632元
六甲村生產免洗棉褲(加大)5入,網路價：114元
美樂新世代SWING雙邊電動吸乳器,網路價：6650元
美樂新世代3合1電動吸乳器M232,網路價：5990元
美樂單邊吸乳器 M221-1,網路價：2350元
MEDELA純羊脂37G  M522,網路價：535元
AVENT 乳頭舒緩霜 30ML,網路價：434元
慕之恬廊慕之孕美胸菁華75ML,網路價：1013元
貝親羊脂膏50G  P16883,網路價：361元
小獅王超柔防脹寬口圓孔奶嘴SS*4,網路價：166元
小獅王超柔防脹標準圓孔奶嘴SS*4,網路價：137元
PUKU 實感寬口S十字奶嘴2入10243,網路價：122元
KU KU液態矽膠標準圓孔奶嘴S*2入,網路價：56元
費雪歐薇思腰凳式揹巾-時尚米,網路價：3480元
費雪歐薇思腰凳式揹巾-薄荷藍,網路價：3480元
費雪歐薇思腰凳式揹巾-紳士灰,網路價：3480元
APRICA腰帶型4向四用揹巾-美捷黑,網路價：3240元
培寶拍痰器,網路價：150元
培寶拍背器,網路價：125元
貝喜力克嬰兒拍背器,網路價：200元
nac nac酵素去漬劑組(罐+重裝瓶),網路價：242元
NUBY嬰兒洗衣精補充包3入3300ml,網路價：374元
NUBY嬰兒洗衣精(1罐2包)3500ml,網路價：399元
nac nac酵素潔淨洗衣皂200G,網路價：65元
SANOSAN baby愛保養超值組,網路價：750元
SANOSAN baby沐浴澎澎超值組,網路價：750元
nac nac草本呵護沐浴精400ML,網路價：243元
nac nac草本呵護泡泡浴露400ML,網路價：243元
TP8100雙向自動鎖門欄,網路價：1798元
TP2001雙向自動鎖門欄,網路價：1798元
ACE雙向門欄  T-251,網路價：1880元
HIPP有機水果趣-黑棗黑加崙100G,網路價：68元
HIPP有機水果趣-香蕉芒果100G,網路價：68元
HIPP有機水果趣-水蜜桃野莓100G,網路價：68元
HIPP有機水果趣-西洋梨蘋果100G,網路價：68元
CREATIVE BABY 3合1成長餐椅-綠,網路價：2290元
CREATIVE BABY 3合1成長餐椅-紅,網路價：2290元
CREATIVE BABY可攜餐椅-嬰兒藍,網路價：989元
GRACO餐椅TABLE2TABLE復古點,網路價：3920元
蛋黃哥滿版紗布肚衣 G6486,網路價：134元
植英房雪世界印花肚衣 藍60,網路價：259元
