品名, 價格
' 【KGCHECK凱綺萃】甦玲精萃 3.0(配方新升級)80顆/盒-青春 4合1 葡萄籽OPC、專利葉黃素、五味子、紅石榴、鈣等', '$1380'
' 【日本味王】膠原蜂蜜檸檬C 口含錠60粒/瓶', '$199'
' 【日本味王】 膠原蜂蜜檸檬C口含片 (20粒/包)', '$49'
' 【愛司盟】健康維生素D3 400IU軟膠囊 60顆/瓶', '$655'
' 【Lovita 愛維他】高單位緩釋型維生素B12 1000mcg(60顆/瓶)-全素可食', '$780'
' 【Lovita愛維他】高單位維生素D3 400IU(60顆/瓶)', '$480'
' 【孕哺兒】小維他營養嚼錠150粒/瓶', '$499'
' 【孕哺兒】媽媽葉酸 口嚼錠60錠', '$499'
' 【BioJoy百喬】法國天然綜合B群（60錠/瓶；一個月份）', '$408'
' 【BLACKMORES 澳佳寶】(新升級)孕寶多 綜合維生素及礦物質配方(60顆/瓶)', '$899'
' 【BLACKMORES 澳佳寶】(新升級)孕寶多 綜合維生素及礦物質配方(180顆/瓶)', '$1611'
' 美國原裝進口【營養生活】美加長效型維他命B+C錠90顆/瓶(含玫瑰果)', '$563'
' 美國原裝進口【營養生活】營養生活維他命C1000(90錠/瓶)', '$675'
' 美國原裝進口【營養生活】長青維他命錠90顆/瓶', '$585'
' 美國原裝進口【營養生活】阿莎伊果Acai巴西紫莓軟膠囊60粒/瓶', '$475'
' 美國原裝進口【營養生活】維他命E軟膠囊 400IU (90顆/瓶)', '$450'
' 【威瑪舒培】蔬果超能B群錠 60錠/盒(補充日常所需能量)', '$499'
' 【威瑪舒培】綜合80種蔬果維他命60粒/瓶(隱性飢餓外食族營養補充品)', '$499'
' 【萊萃美】維生素B群超值組(90+30+30粒)', '$559'
' 【蜂沛】蜂沛暢120粒', '$1800'
' 【BioJoy百喬】關健_BioCell 二型膠原複合錠(60錠/瓶)', '$699'
' 【常春藤】輔關錠PLUS 60粒/盒(UC-Ⅱ專利非變性二型膠原蛋白)', '$1980'
' 【常春藤】海藻孕婦鈣30錠/盒', '$300'
' 【消費高手】好幸福正龜鹿双膠原16塊/盒', '$3582'
' 【消費高手】好關鍵30粒x3盒', '$5780'
' 【日本味王】 IQ鈣牛奶口嚼錠 (32粒/包)', '$49'
' 【日本味王】IQ鈣牛奶口嚼錠(120粒/瓶)', '$199'
' 【愛司盟】健康維生素D3 400IU軟膠囊 60顆/瓶', '$655'
' 【Lovita愛維他】高單位維生素D3 400IU(60顆/瓶)', '$480'
' 【挺立】UC-II關鍵迷你錠(30錠/盒)-祼瓶優惠 不可退換', '$859'
' 【挺立】UC-II關鍵迷你錠(30錠/盒)', '$879'
' 【挺立】鈣迷你錠150錠/盒', '$899'
' 【愛司盟】液體鈣軟膠囊 330粒/瓶', '$1200'
' 【甘味人生】鍵力膠原(15包/盒) x2盒', '$2780'
' 【甘味人生】鍵力膠原(15包/盒)X5盒', '$5980'
' 【甘味人生】鍵力膠原(15包/盒)', '$1480'
' 美國原裝進口【營養生活】乳油木果軟膠囊60顆/瓶(素食可食)', '$495'
' 美國原裝進口【營養生活】檸檬酸鈣膠原加強錠90粒/瓶', '$675'
' 【夏威夷海紅寶】蝦紅素 (60粒/瓶)', '$1200'
' 【常春藤】好世界3.0膠囊60顆/瓶(含專利FloraGLO  葉黃素)', '$1800'
' 【KGCHECK凱綺萃】甦玲精萃 3.0(配方新升級)80顆/盒-青春 4合1 葡萄籽OPC、專利葉黃素、五味子、紅石榴、鈣等', '$1380'
' 【娘家】明亮優適益生菌(2gx30包/盒)', '$1280'
' 【白蘭氏】黑醋栗+金盞花葉黃素精華飲(60mlx6瓶/盒)', '$349'
' 【恩能康見】幼兒葉黃素粉2gx60包/盒(美國原廠FloraGLO 葉黃素)', '$1200'
' 【恩能康見】幼兒葉黃素粉2gx60包/盒(美國原廠FloraGLO 葉黃素)', '$3600'
' 【善存】游離型葉黃素軟膠囊20mg(60粒/瓶)', '$799'
' 【善存】游離型葉黃素軟膠囊20mg(60粒/瓶)-祼瓶優惠 不可退換', '$779'
' 【BLACKMORES 澳佳寶】晶采金盞花葉黃素(60顆/瓶)', '$795'
' 【BLACKMORES 澳佳寶】葡萄籽OPC(30錠)', '$506'
' 【BioJoy百喬】黑晶華_黑豆精華x葉黃素晶亮膠囊(60顆/瓶)', '$1048'
' 【消費高手】好晶明60粒x2盒/組', '$2235'
' 【消費高手】好晶明(60粒/盒)', '$1267'
' 【亞大T8銀耳】黃耆枸杞全家福禮盒(24入/箱)-廠商直送', '$2160'
' 【亞大T8銀耳】黃耆枸杞6入禮盒-廠商直送', '$780'
' 美國原裝進口【營養生活】明遠錠(葉黃素+山桑子+決明子+枸杞等) ', '$699'
' 【三多】金盞花萃取物(含葉黃素)複方軟膠囊100粒/盒', '$718'
' 【三多】金盞花萃取物(含葉黃素)複方軟膠囊50粒/盒', '$420'
' 【常春藤】新安諾斯膠囊PLUS 60粒/盒', '$1450'
' 【娘家】 益生菌（2g/包，60包/盒)', '$2200'
' 【常春藤】新安諾斯膠囊PLUS 60粒x7盒(買6送1)', '$8700'
' 【甘味人生】活菌之母(30包/盒)', '$1980'
' 【甘味人生】活菌之母(30包/盒) x3盒', '$5400'
' 【陽明生醫】一家人益生菌(60包/盒)', '$1935'
' 美國原裝進口【營養生活】費益清錠狀食品60錠/瓶', '$630'
' 【台灣海洋 Taiwan Yes】敏利停益生菌隨身包(配方升級)30包/盒', '$629'
' 【景岳生技】敏亦樂(原樂亦康) APF益生菌120膠囊裝-120粒/盒- 低溫宅配', '$2000'
' 【常春藤】新安諾斯膠囊PLUS 60粒/盒', '$1450'
' 【BLACKMORES 澳佳寶】兒童益生菌(20包/盒)', '$550'
' 【娘家】 益生菌（2g/包，60包/盒)', '$2200'
' 【恩能康見】幼兒乳酸菌粉(2gx60包/盒)', '$1200'
' 【娘家】明亮優適益生菌(2gx30包/盒)', '$1280'
' 【鹼性王】梅精飴(68g/包)X4包(買3送1)', '$360'
' 【永齡有機】好酵益 綜合蔬果酵飲600ml(諾麗果+紅球薑各一瓶)', '$3380'
' 【永齡有機】好酵益 諾麗果綜合蔬果發酵液600ml', '$1785'
' 【永齡有機】好酵益 紅球薑綜合蔬果酵飲600ml', '$1785'
' 【常春藤】新安諾斯膠囊PLUS 60粒x7盒(買6送1)', '$8700'
' 【悠活原力】YOYO敏立清益生菌-多多口味(60條/盒)', '$2000'
' 【日本味王】暢快人生CX 14包/盒(國家健康食品認證，有助於不易形成體脂肪)', '$499'
' 【樂立纖】蔬暢錠(日本專利Fibersol-2 纖維加強版)120粒x2盒', '$1890'
' 【樂立纖】蔬暢錠(日本專利Fibersol-2 纖維加強版)120粒x3盒', '$2680'
' 【日本味王】暢快人生草莓精華版(30包／盒)', '$680'
' 【InSeed益喜氏】好欣情-PS128快樂益生菌 30包x2盒', '$2516'
' 【InSeed益喜氏】好欣情-PS128快樂益生菌 30包x3盒', '$3540'
' 【InSeed益喜氏】益菌寶益生菌60包x2盒', '$2856'
' 【InSeed益喜氏】益菌寶益生菌60包/盒', '$1510'
' 【KGCHECK凱綺萃】KG新代謝膠囊90粒/盒', '$1280'
' 【KGCHECK凱綺萃】KG美形膠囊150粒/盒', '$1380'
' 【KGCHECK凱綺萃】KG淨化膠囊60粒/盒', '$780'
' 【KGCHECK凱綺萃】纖醣EX膠囊30粒/盒', '$499'
' 【KGCHECK凱綺萃】外食油膩對策-專利甲殼素(20粒/盒)', '$499'
' 【日本味王】燃燒錠二代 60粒/盒X2盒', '$733'
' 【日本味王】窈窕元素(90粒／盒)', '$366'
' 【日本味王】燃燒錠二代 60粒/盒', '$419'
' 【日本味王】暢快人生CX 14包/盒(國家健康食品認證，有助於不易形成體脂肪)', '$499'
' 【Organika優格康】藤黃果膠囊(90顆/瓶)', '$880'
' 【竹善堂】孅姿膠囊30顆/盒', '$499'
' 美國原裝進口【營養生活】阿莎伊果Acai巴西紫莓軟膠囊60粒/瓶', '$475'
' 易珈生技【纖Q好手藝】紅豆水5包+黑豆水5包((2gx30入x10包)', '$2270'
' 【永信 HAC】美妍益生高纖奶昔 (150公克/包)', '$380'
' 【永信 HAC】紅潤丰采高鐵奶昔(150公克/包)', '$380'
' 【永信 HAC】純化綠茶素膠囊90粒/瓶(高純度90%以上兒茶素ECGC)', '$1235'
' 【永信 HAC】輕媚甲殼質(白腎豆)膠囊(90粒/瓶)', '$523'
' 【竹善堂】孅姿茶(14包/盒)*10', '$1700'
' 【竹善堂】孅姿茶(14包/盒)', '$200'
' 【寶齡富錦】Maca瑪卡威剛膠囊  66顆/盒', '$1500'
' 【Lovita 愛維他】胺基酸螯合鋅30mg(60錠/瓶)', '$499'
' 【ViMax威邁斯】瑪卡蟲草人蔘飲升級版(15ml*10瓶/盒)', '$1780'
' 美國原裝進口【營養生活】複方南瓜籽油軟膠囊90顆/瓶(南瓜籽油+茄紅素+花粉)', '$990'
' 【順天本草】帝王液50ml/瓶', '$75'
' 【永信 HAC】 南瓜籽軟膠囊(100粒/瓶)', '$1235'
' 【永信 HAC】綜合維他命B群+鋅錠(90錠/盒)', '$570'
' 【綠寶】鋅綠藻片(專利高消化率處理)700錠/瓶', '$825'
' 【三多】男性B群鋅硒強化錠(60錠/盒)', '$215'
' 【三多】鋅錠(90粒/盒)', '$230'
' 【三多】男性B群鋅硒強化錠(100錠/盒)', '$349'
' 【蜂沛】蜂沛眠120粒/瓶(含GABA &台灣綠蜂膠獨家PPLs專利保健配方)', '$1800'
' 【永齡有機】好酵益 綜合蔬果酵飲600ml(諾麗果+紅球薑各一瓶)', '$3380'
' 【永齡有機】好酵益 諾麗果綜合蔬果發酵液600ml', '$1785'
' 【三多】好舒寧Plus複方植物性膠囊60粒/盒(全素)', '$799'
' 【葡萄王】晶透雪亮飲3入/盒', '$179'
' 【InSeed益喜氏】好欣情-PS128快樂益生菌 30包x2盒', '$2516'
' 【InSeed益喜氏】好欣情-PS128快樂益生菌 30包/盒', '$1330'
' 【InSeed益喜氏】好欣情-PS128快樂益生菌 30包x3盒', '$3540'
' 【BLACKMORES 澳佳寶】濃縮深海魚油(90顆)', '$1795'
